Team,Team_ID,FG%,3P%,FT%,TRB,ORB,AST,STL,BLK,turnovers,team_turnovers,TOV,technical_fouls,total_technical_fouls,flagrant_fouls,PF,Game_ID,Season,Season_Type,Date,Datetime,Team_Score,Team_Win,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,three_point_field_goals_made,three_point_field_goals_attempted,Opponent,Opp_Score,Largest_Lead,Site,opponent_id_combined,season_type_encoded,home_away_encoded,team_winner_encoded,FGM,FGA,3PM,3PA,FTM,FTA,oFGM,oFGA,oFG%,o3PM,o3PA,o3P%,oFTM,oFTA,oFT%,oORB,oTRB,oAST,oSTL,oBLK,oTOV,oPF
Loyola (MD),2352,44.1,27.8,70.0,27,14,18,11,2,3,0,3,0,0,0,19,330312099,2013,2,2013-02-01,,79.0,False,30.0,68.0,14.0,20.0,5.0,18.0,Canisius,91.0,0.0,home,2099.0,0,1,0,30.0,68.0,5.0,18.0,14.0,20.0,29.0,48.0,60.4,13.0,19.0,68.4,20.0,24.0,83.3,10,38,16,1,7,16,14
Canisius,2099,60.4,68.4,83.3,38,10,16,1,7,16,1,16,0,0,0,14,330312099,2013,2,2013-02-01,,91.0,True,29.0,48.0,20.0,24.0,13.0,19.0,Loyola (MD),79.0,21.0,away,2352.0,0,0,1,29.0,48.0,13.0,19.0,20.0,24.0,30.0,68.0,44.1,5.0,18.0,27.8,14.0,20.0,70.0,14,27,18,11,2,3,19
SE Louisiana,2545,50.9,38.5,52.9,35,6,16,7,1,16,0,16,0,0,0,19,330312110,2013,2,2013-02-01,,70.0,True,28.0,55.0,9.0,17.0,5.0,13.0,Central Arkansas,69.0,8.0,home,2110.0,0,1,1,28.0,55.0,5.0,13.0,9.0,17.0,24.0,58.0,41.4,7.0,20.0,35.0,14.0,21.0,66.7,11,40,13,9,2,15,16
Central Arkansas,2110,41.4,35.0,66.7,40,11,13,9,2,15,0,15,0,0,0,16,330312110,2013,2,2013-02-01,,69.0,False,24.0,58.0,14.0,21.0,7.0,20.0,SE Louisiana,70.0,7.0,away,2545.0,0,0,0,24.0,58.0,7.0,20.0,14.0,21.0,28.0,55.0,50.9,5.0,13.0,38.5,9.0,17.0,52.9,6,35,16,7,1,16,19
Samford,2535,41.3,33.3,60.0,25,6,9,5,3,10,0,10,0,0,0,18,330312166,2013,2,2013-02-01,,51.0,False,19.0,46.0,9.0,15.0,4.0,12.0,Davidson,71.0,2.0,home,2166.0,0,1,0,19.0,46.0,4.0,12.0,9.0,15.0,23.0,48.0,47.9,5.0,18.0,27.8,20.0,23.0,87.0,9,36,11,3,5,8,18
Davidson,2166,47.9,27.8,87.0,36,9,11,3,5,8,0,8,0,0,0,18,330312166,2013,2,2013-02-01,,71.0,True,23.0,48.0,20.0,23.0,5.0,18.0,Samford,51.0,26.0,away,2535.0,0,0,1,23.0,48.0,5.0,18.0,20.0,23.0,19.0,46.0,41.3,4.0,12.0,33.3,9.0,15.0,60.0,6,25,9,5,3,10,18
Northern Kentucky,94,51.0,44.0,63.6,31,9,19,6,1,14,0,14,0,0,0,16,330312193,2013,2,2013-02-01,,70.0,True,26.0,51.0,7.0,11.0,11.0,25.0,East Tennessee State,68.0,10.0,home,2193.0,0,1,1,26.0,51.0,11.0,25.0,7.0,11.0,24.0,51.0,47.1,10.0,20.0,50.0,10.0,15.0,66.7,9,32,12,5,3,10,11
East Tennessee State,2193,47.1,50.0,66.7,32,9,12,5,3,10,0,10,0,0,0,11,330312193,2013,2,2013-02-01,,68.0,False,24.0,51.0,10.0,15.0,10.0,20.0,Northern Kentucky,70.0,7.0,away,94.0,0,0,0,24.0,51.0,10.0,20.0,10.0,15.0,26.0,51.0,51.0,11.0,25.0,44.0,7.0,11.0,63.6,9,31,19,6,1,14,16
UL Monroe,2433,39.1,26.3,61.5,48,20,17,12,4,16,0,16,0,0,0,22,330312226,2013,2,2013-02-01,,71.0,False,25.0,64.0,16.0,26.0,5.0,19.0,Florida Atlantic,76.0,9.0,home,2226.0,0,1,0,25.0,64.0,5.0,19.0,16.0,26.0,28.0,62.0,45.2,7.0,20.0,35.0,13.0,23.0,56.5,16,47,8,10,8,16,18
Florida Atlantic,2226,45.2,35.0,56.5,47,16,8,10,8,16,0,16,0,0,0,18,330312226,2013,2,2013-02-01,,76.0,True,28.0,62.0,13.0,23.0,7.0,20.0,UL Monroe,71.0,5.0,away,2433.0,0,0,1,28.0,62.0,7.0,20.0,13.0,23.0,25.0,64.0,39.1,5.0,19.0,26.3,16.0,26.0,61.5,20,48,17,12,4,16,22
