Team 1,Team 2,Date,Site,Outcome,1-ORtg,1-DRtg,1-3PAr,1-TS%,1-TRB%,1-AST%,1-STL%,1-BLK%,1-eFG%,1-TOV%,1-ORB%,1-FTr,1-oeFG%,1-oTOV%,1-oDRB%,1-oFTr,1-Pace,1-o3PAr,2-ORtg,2-DRtg,2-3PAr,2-TS%,2-TRB%,2-AST%,2-STL%,2-BLK%,2-eFG%,2-TOV%,2-ORB%,2-FTr,2-oeFG%,2-oTOV%,2-oDRB%,2-oFTr,2-Pace,2-o3PAr,Game ID
North Dakota State,Omaha,2023-02-09,home,1,103.08060759161448,109.89227535470307,0.3990384615384615,0.5466058940189973,0.5063715627095908,0.4389380530973451,0.0584603258013662,0.0711060948081264,0.5208333333333334,0.1732226632984482,0.2395128552097429,0.3189102564102564,0.5257771038665656,0.1734104046242774,0.7604871447902571,0.2911296436694465,3046.4500000000003,0.3282789992418499,98.82123007390216,113.28160937164584,0.2823795180722891,0.5349467698208028,0.4771446462116468,0.4857142857142857,0.0791192615535588,0.0901442307692307,0.4958584337349397,0.1966652415562206,0.2525641025641025,0.2921686746987952,0.5369175627240144,0.1974914900794259,0.7474358974358974,0.3311827956989247,3267.75,0.403584229390681,401470238.0
Northern Arizona,Sacramento State,2023-02-09,home,1,100.82074386805088,111.31772195783036,0.3737151248164464,0.5184789124904811,0.4894971355824316,0.5446584938704028,0.0737495666425037,0.0503225806451612,0.4838472834067547,0.1676144866806345,0.2652329749103942,0.2797356828193832,0.5472813238770685,0.1676699549308203,0.7347670250896058,0.3955870764381403,3173.425,0.3892828999211978,104.40823056817582,107.3623391403309,0.3579638752052545,0.5406289171071993,0.5413165266106442,0.5620437956204379,0.072135165893373,0.0731158605174353,0.5147783251231527,0.2083954602066413,0.3425414364640884,0.2733990147783251,0.5227635782747604,0.2080014006828328,0.6574585635359116,0.2436102236421725,2853.05,0.2899361022364217,401469707.0
Arkansas State,Texas State,2023-02-09,away,0,96.56479174707886,105.22084141716044,0.3288590604026846,0.4974872555045374,0.503698722259583,0.5346938775510204,0.0929858598570255,0.0871794871794871,0.4647651006711409,0.1901821116530404,0.2958656330749354,0.337248322147651,0.5075821398483572,0.1894674287312324,0.7041343669250646,0.3428812131423757,2855.275,0.3428812131423757,97.83259911894274,101.95113376691862,0.245819397993311,0.4990113248247348,0.5074415308291992,0.4023668639053254,0.0998417999648444,0.0958333333333333,0.4615384615384615,0.184669603524229,0.3166441136671177,0.342809364548495,0.5108695652173914,0.1842151520478116,0.6833558863328822,0.4257246376811594,2841.0,0.3478260869565217,401470352.0
Northern Kentucky,Wright State,2023-02-10,away,0,100.68222381611648,99.82650473775524,0.3886363636363636,0.5078157863741145,0.4773316062176165,0.5509090909090909,0.1427999466168423,0.0756533700137551,0.4806818181818181,0.1794799085920168,0.3106796116504854,0.2643939393939394,0.5188600167644594,0.1795008674763112,0.6893203883495146,0.3151718357082984,2997.375,0.3906119027661358,106.06503725367314,100.28274161873058,0.2616088947024199,0.557662737057919,0.5194880744618965,0.4697986577181208,0.081340445979637,0.066017316017316,0.5313930673642904,0.1754752454564445,0.2721822541966426,0.2452583387835186,0.5090725806451613,0.1754947978327785,0.7278177458033573,0.2842741935483871,3590.05,0.3790322580645161,401470056.0
Butler,Xavier,2023-02-10,home,1,98.3121988708581,100.13159645724596,0.3550724637681159,0.5331666185758712,0.4627046694966646,0.5230263157894737,0.1017284972867472,0.1117824773413897,0.5025362318840579,0.1773521326593952,0.207663782447466,0.2739130434782608,0.5003394433129668,0.1774334255001405,0.792336217552534,0.2097759674134419,3382.325,0.3258655804480652,114.13518033417692,103.3002811898772,0.3074204946996466,0.5916923690711842,0.5326695706285003,0.6802244039270687,0.0941246115139855,0.091005291005291,0.566077738515901,0.1722683479110243,0.3047493403693931,0.3187279151943463,0.5100624566273422,0.1722657984312565,0.6952506596306068,0.2706453851492019,3378.4749999999995,0.3442054129077029,401485257.0
Niagara,Quinnipiac,2023-02-10,home,1,100.36300712848198,102.24695938981654,0.3490304709141274,0.5373940016516607,0.4859154929577465,0.462655601659751,0.0832068364535897,0.0718789407313997,0.5064635272391506,0.1850772095472756,0.251993620414673,0.3074792243767313,0.4874551971326165,0.1844043402484961,0.748006379585327,0.3396057347670251,2663.2,0.289426523297491,103.54530106921776,96.04661362070046,0.3818316100443131,0.5252807206749984,0.5393939393939394,0.5076923076923077,0.0908464381930956,0.0666666666666666,0.4988921713441654,0.1857062464828362,0.3378545006165228,0.345642540620384,0.4635379061371841,0.186078566505858,0.6621454993834772,0.2570397111913357,3195.4000000000005,0.371841155234657,401487027.0
Akron,Ohio,2023-02-10,away,0,106.49156232988568,98.1414673346214,0.4384,0.5405498756562587,0.5183211192538307,0.5215759849906192,0.0909603843589173,0.0723192019950124,0.5012,0.16943385955362,0.3006622516556291,0.3328,0.4885620915032679,0.1702942534238378,0.6993377483443709,0.2720588235294117,2931.775,0.3447712418300653,110.17267267267268,107.44909731533164,0.3824982357092449,0.5505189446042266,0.5155875299760192,0.4485981308411215,0.087306289170902,0.0559610705596107,0.5225829216654905,0.1682932932932933,0.3241296518607443,0.2709950599858857,0.5176211453744494,0.1677527984783761,0.6758703481392557,0.3362701908957415,3201.95,0.3964757709251101,401473573.0
Buffalo,Kent State,2023-02-10,home,0,103.66947374821392,105.50244636808432,0.3335755813953488,0.5356077026984576,0.513664596273292,0.5120772946859904,0.1017689123071133,0.0775462962962963,0.5054505813953488,0.1970024017268112,0.3312958435207824,0.3299418604651162,0.5171513795674869,0.1951072638313888,0.6687041564792175,0.384041759880686,3305.275,0.3557046979865771,105.86332521932336,93.89177460714048,0.3959121877365632,0.5345564336506574,0.4903474903474903,0.4575389948006932,0.126898546913012,0.1200564971751412,0.5011355034065103,0.160755419777491,0.2927756653992395,0.3096139288417865,0.4685138539042821,0.1617463344072588,0.7072243346007605,0.3727959697732997,3051.175,0.4055415617128463,401473571.0
Mount St. Mary's,Siena,2023-02-10,home,0,94.0901407560702,102.1167495231842,0.3368821292775665,0.5076626719626327,0.4883004926108374,0.5551470588235294,0.0869211768752149,0.071345029239766,0.4749049429657794,0.223693148607447,0.2923832923832923,0.2425855513307984,0.4981617647058823,0.2213676015383172,0.7076167076167076,0.2897058823529412,3181.675,0.3713235294117647,102.7150092152338,98.0264584688788,0.3274942878903275,0.5424771377623636,0.5280970625798213,0.5137457044673539,0.0786938067354463,0.1153039832285115,0.5022848438690023,0.1970046618241517,0.3012987012987013,0.345011424219345,0.4912213740458015,0.1970443349753695,0.6987012987012987,0.3404580152671755,3228.025,0.2717557251908397,401487026.0
Air Force,New Mexico,2023-02-10,home,1,105.36424749622716,103.3164795612306,0.4630416312659303,0.5681313803817133,0.4751226348983882,0.6462962962962963,0.0856971462850287,0.1152502910360884,0.54035683942226,0.1797228700782,0.2257597684515195,0.3126593033135089,0.4799672935404742,0.1796212186134201,0.7742402315484804,0.3556827473426001,2916.425,0.2976287816843826,110.21956832742428,98.75852639102536,0.2657450076804915,0.5698848652473146,0.5310519645120405,0.4739336492890995,0.0950915955810376,0.1076732673267326,0.5303379416282642,0.1679417801828699,0.2893333333333333,0.4086021505376344,0.490727002967359,0.167808698084184,0.7106666666666667,0.2826409495548961,3216.6749999999997,0.400593471810089,401482855.0
