Index,Team,G,Date,Site,Opponent,Type,W/L,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oeFG%,oFT,oFTA,oFT%,oORB,oDRB.1,oTRB.1,oAST.1,oSTL.1,oBLK.1,oTOV.1,oPF.1
201,Albany (NY),35,2013-03-22,N,Duke,ROUND-64,L,61,73,,19,52,.365,9,15,.600,10,37,.270,.452,14,16,.875,9,22,27,17,9,3,11,18,27,46,.587,4,11,.364,23,35,.657,.630,15,21,.714,5,22,27,17,9,3,11,18
203,Alcorn State,1,2012-11-11,,Oakwood,REG (Non-Conf),W,85,41,,38,69,.551,6,16,.375,32,53,.604,.594,3,7,.429,6,18,26,2,0,1,11,13,10,54,.185,7,26,.269,3,28,.107,.250,14,23,.609,8,18,26,2,0,1,11,13
204,Alcorn State,2,2012-11-13,@,Missouri,REG (Non-Conf),L,54,91,,19,62,.306,4,12,.333,15,50,.300,.339,12,20,.600,13,32,54,11,11,10,9,18,26,68,.382,8,22,.364,18,46,.391,.441,31,44,.705,22,32,54,11,11,10,9,18
205,Alcorn State,3,2012-11-15,@,Stanford,REG (Non-Conf),L,51,69,,21,51,.412,2,6,.333,19,45,.422,.431,7,12,.583,5,28,47,9,6,3,15,14,22,64,.344,4,18,.222,18,46,.391,.375,21,30,.700,19,28,47,9,6,3,15,14
206,Alcorn State,4,2012-11-19,,Fort Valley St.,REG (Non-Conf),L,78,86,,27,75,.360,5,20,.250,22,55,.400,.393,19,33,.576,16,25,31,7,2,1,13,25,31,53,.585,9,15,.600,22,38,.579,.670,15,24,.625,6,25,31,7,2,1,13,25
207,Alcorn State,5,2012-11-21,@,Florida Gulf Coast,REG (Non-Conf),L,48,50,,18,48,.375,3,17,.176,15,31,.484,.406,9,15,.600,8,20,31,10,12,3,14,18,18,52,.346,1,14,.071,17,38,.447,.356,13,23,.565,11,20,31,10,12,3,14,18
208,Alcorn State,6,2012-11-22,N,Samford,REG (Non-Conf),W,69,65,OT,24,56,.429,7,19,.368,17,37,.459,.491,14,20,.700,7,28,42,9,2,1,13,19,22,59,.373,8,27,.296,14,32,.438,.441,13,21,.619,14,28,42,9,2,1,13,19
209,Alcorn State,7,2012-11-27,@,Mississippi State,REG (Non-Conf),L,42,60,,15,53,.283,4,17,.235,11,36,.306,.321,8,17,.471,7,31,45,6,10,1,18,17,18,44,.409,2,13,.154,16,31,.516,.432,22,33,.667,14,31,45,6,10,1,18,17
210,Alcorn State,8,2012-12-01,,Jacksonville State,REG (Non-Conf),L,52,56,,21,55,.382,4,15,.267,17,40,.425,.418,6,11,.545,12,17,30,9,2,2,11,8,19,60,.317,4,11,.364,15,49,.306,.350,14,20,.700,13,17,30,9,2,2,11,8
211,Alcorn State,9,2012-12-15,@,Arkansas,REG (Non-Conf),L,59,97,,22,53,.415,3,10,.300,19,43,.442,.443,12,18,.667,8,20,41,24,16,10,11,13,37,79,.468,10,24,.417,27,55,.491,.532,13,20,.650,21,20,41,24,16,10,11,13
212,Alcorn State,10,2012-12-17,@,Temple,REG (Non-Conf),L,46,63,,17,50,.340,4,15,.267,13,35,.371,.380,8,12,.667,10,22,31,11,12,6,13,13,20,50,.400,5,20,.250,15,30,.500,.450,18,26,.692,9,22,31,11,12,6,13,13
213,Alcorn State,11,2012-12-19,,Detroit Mercy,REG (Non-Conf),L,58,74,,23,52,.442,2,12,.167,21,40,.525,.462,10,15,.667,6,16,24,15,3,3,8,15,29,56,.518,8,22,.364,21,34,.618,.589,8,9,.889,8,16,24,15,3,3,8,15
214,Alcorn State,12,2012-12-21,@,Santa Clara,REG (Non-Conf),L,58,70,,17,56,.304,4,13,.308,13,43,.302,.339,20,28,.714,13,28,44,16,9,6,13,18,24,62,.387,6,21,.286,18,41,.439,.435,16,24,.667,16,28,44,16,9,6,13,18
215,Alcorn State,13,2012-12-22,N,SMU,REG (Non-Conf),L,52,67,,16,49,.327,7,30,.233,9,19,.474,.398,13,21,.619,7,29,34,13,7,2,21,12,22,42,.524,3,9,.333,19,33,.576,.560,20,21,.952,5,29,34,13,7,2,21,12
216,Alcorn State,14,2012-12-27,@,Canisius,REG (Non-Conf),L,74,87,,26,57,.456,8,24,.333,18,33,.545,.526,14,17,.824,6,22,38,17,8,2,15,13,27,56,.482,9,23,.391,18,33,.545,.563,24,33,.727,16,22,38,17,8,2,15,13
217,Alcorn State,15,2012-12-29,@,Syracuse,REG (Non-Conf),L,36,57,,14,32,.438,3,17,.176,11,15,.733,.484,5,11,.455,3,18,36,10,13,2,15,11,21,56,.375,3,15,.200,18,41,.439,.402,12,28,.429,18,18,36,10,13,2,15,11
