id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_date_time,game_date,PBP,team_box,player_box
401499594,s:40~l:41~e:401499594~c:401499594,2022-12-17T21:00Z,218,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,1929,Chase Arena,West Hartford,CT,4017,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,42,s:40~l:41~t:42,Hartford,Hawks,HART,Hartford Hawks,Hartford,d60008,000000,TRUE,1929,https://a.espncdn.com/i/teamlogos/ncaa/500/42.png,43,51,FALSE,2597,s:40~l:41~t:2597,St. Francis Brooklyn,Terriers,SFNY,St. Francis Brooklyn Terriers,St Francis BK,113682,,TRUE,4941,https://a.espncdn.com/i/teamlogos/ncaa/500/2597.png,19,67,TRUE,401499594,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401492352,s:40~l:41~e:401492352~c:401492352,2022-12-17T21:00Z,98,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,2064,Hytche Athletic Center,Princess Anne,MD,5500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2379,s:40~l:41~t:2379,Maryland-Eastern Shore,Hawks,UMES,Maryland-Eastern Shore Hawks,MD-Eastern,5c2301,b5b7ba,TRUE,2064,https://a.espncdn.com/i/teamlogos/ncaa/500/2379.png,16,95,TRUE,109636,s:40~l:41~t:109636,Summit,Defenders,SUMM,Summit Defenders,Summit,,,FALSE,,,,55,FALSE,401492352,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401491714,s:40~l:41~e:401491714~c:401491714,2022-12-17T21:00Z,827,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,1994,Swisher Gymnasium,Jacksonville,FL,1360,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,294,s:40~l:41~t:294,Jacksonville,Dolphins,JAX,Jacksonville Dolphins,Jacksonville,00523e,,TRUE,1994,https://a.espncdn.com/i/teamlogos/ncaa/500/294.png,46,72,TRUE,2127,s:40~l:41~t:2127,Charleston Southern,Buccaneers,CHSO,Charleston Southern Buccaneers,Charleston So,2e3192,ded090,TRUE,2187,https://a.espncdn.com/i/teamlogos/ncaa/500/2127.png,6,63,FALSE,401491714,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401489688,s:40~l:41~e:401489688~c:401489688,2022-12-17T21:00Z,557,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,2152,Hooper Eblen Center,Cookeville,TN,7500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2635,s:40~l:41~t:2635,Tennessee Tech,Golden Eagles,TNTC,Tennessee Tech Golden Eagles,Tennessee Tech,5A4099,ffde00,TRUE,2152,https://a.espncdn.com/i/teamlogos/ncaa/500/2635.png,20,65,FALSE,2717,s:40~l:41~t:2717,Western Carolina,Catamounts,WCU,Western Carolina Catamounts,W Carolina,492F91,bf9e70,TRUE,245,https://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,24,75,TRUE,401489688,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401489553,s:40~l:41~e:401489553~c:401489553,2022-12-17T21:00Z,1394,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,2137,Holmes Convocation Center,Boone,NC,8325,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2026,s:40~l:41~t:2026,Appalachian State,Mountaineers,APP,Appalachian State Mountaineers,Appalachian St,000000,ffcd00,TRUE,2137,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,27,100,TRUE,111926,s:40~l:41~t:111926,Regent University,Royals,RGNT,Regent University Royals,Regent,,,FALSE,,,,32,FALSE,401489553,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401488208,s:40~l:41~e:401488208~c:401488208,2022-12-17T21:00Z,572,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,1959,Reese Court,Cheney,WA,6000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,331,s:40~l:41~t:331,Eastern Washington,Eagles,EWU,Eastern Washington Eagles,E Washington,a10022,abb4bc,TRUE,1959,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png,5,79,TRUE,302,s:40~l:41~t:302,UC Davis,Aggies,UCD,UC Davis Aggies,UC Davis,002855,c3c4c6,TRUE,2212,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,9,68,FALSE,401488208,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401487709,s:40~l:41~e:401487709~c:401487709,2022-12-17T21:00Z,6817,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,2051,Stuart C. Siegel Center,Richmond,VA,7637,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2670,s:40~l:41~t:2670,VCU,Rams,VCU,VCU Rams,VCU,929292,edb71d,TRUE,2051,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png,3,90,TRUE,2459,s:40~l:41~t:2459,Northern Illinois,Huskies,NIU,Northern Illinois Huskies,N Illinois,F1122C,cc0000,TRUE,2090,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,14,63,FALSE,401487709,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401485518,s:40~l:41~e:401485518~c:401485518,2022-12-17T21:00Z,3007,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,4935,Freedom Hall Civic Center,Johnson City,TN,6149,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2193,s:40~l:41~t:2193,East Tennessee State,Buccaneers,ETSU,East Tennessee State Buccaneers,ETSU,002d61,ffc423,TRUE,4935,https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,24,73,FALSE,2427,s:40~l:41~t:2427,UNC Asheville,Bulldogs,UNCA,UNC Asheville Bulldogs,UNC Asheville,003da5,ffffff,TRUE,2609,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png,6,74,TRUE,401485518,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401485478,s:40~l:41~e:401485478~c:401485478,2022-12-17T21:00Z,0,TRUE,TRUE,FALSE,FALSE,2022-12-17T21:00Z,event,Chris Paul's HBCU Challenge,0,N/A,4810,MGM Grand Garden Arena,Las Vegas,NV,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2450,s:40~l:41~t:2450,Norfolk State,Spartans,NORF,Norfolk State Spartans,Norfolk St,046546,,TRUE,1989,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,16,78,TRUE,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,TRUE,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,10,66,FALSE,401485478,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
401485343,s:40~l:41~e:401485343~c:401485343,2022-12-17T21:00Z,2691,TRUE,FALSE,FALSE,FALSE,2022-12-17T21:00Z,"","",0,N/A,5289,Freedom Hall,Louisville,KY,18252,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,91,s:40~l:41~t:91,Bellarmine,Knights,BELL,Bellarmine Knights,Bellarmine,000000,,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png,46,67,FALSE,193,s:40~l:41~t:193,Miami (OH),Redhawks,M-OH,Miami (OH) Redhawks,Miami OH,a4000c,f0f0f0,TRUE,2134,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,14,71,TRUE,401485343,2023,2,,,,,,,2022-12-17T21:00:00Z,2022-12-17,TRUE,TRUE,TRUE
