Game ID,Name,Site,Date,Opponent,Outcome,Game,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr
400835591,Campbell,away,2015-12-01,VMI,1,5,96.69691470054448,96.52650822669104,0.3547169811320754,0.5132947976878612,0.4615384615384615,0.4821428571428571,0.1053016453382084,0.045,0.4811320754716981,0.1684210526315789,0.2099447513812154,0.4716981132075472,0.4767857142857143,0.1696526508226691,0.7900552486187845,0.375,686.25,0.2857142857142857
400835592,Campbell,home,2015-12-10,Charlotte,1,6,98.5364090826959,96.87575684185032,0.3465045592705167,0.5189367506185371,0.4604966139954853,0.4225352112676056,0.0968757568418503,0.0458333333333333,0.4908814589665654,0.1638258146118171,0.2155963302752293,0.4164133738601823,0.4680232558139535,0.1646887866311455,0.7844036697247706,0.3604651162790697,827.9749999999999,0.3023255813953488
400835593,Campbell,home,2015-12-13,UNC Asheville,0,7,96.01310200112594,98.86205653673858,0.3587786259541984,0.4994941157676127,0.45489443378119,0.4161490683229814,0.0988620565367385,0.0421052631578947,0.4643765903307888,0.1576334510466246,0.2188679245283019,0.4096692111959287,0.4709595959595959,0.1585912156943514,0.7811320754716982,0.4015151515151515,974.0,0.2803030303030303
400835595,Campbell,away,2015-12-19,The Citadel,1,8,99.5676667103367,98.08455866311792,0.3744394618834081,0.5263400895701555,0.4655462184873949,0.4427083333333333,0.09773550329421,0.0369230769230769,0.4899103139013453,0.1624525088431809,0.2116040955631399,0.4506726457399103,0.4679487179487179,0.1623107465421702,0.78839590443686,0.3867521367521367,1145.45,0.3055555555555556
400830878,Campbell,away,2015-12-22,College of Charleston,0,9,98.47578622419448,99.99228454594552,0.373253493013972,0.5247789430392762,0.4595419847328244,0.4465116279069767,0.0956716302754417,0.0330578512396694,0.4860279441117764,0.1636118078333011,0.2018348623853211,0.4491017964071856,0.4885714285714285,0.1635676259547874,0.7981651376146789,0.3771428571428571,1295.9250000000002,0.3085714285714285
400835596,Campbell,home,2015-12-29,UNC Wilmington,0,10,99.04866572792528,103.2311062431544,0.3689839572192513,0.5255676641032183,0.4603825136612022,0.4273858921161825,0.0903614457831325,0.0313253012048192,0.4857397504456328,0.1662259161314696,0.2135135135135135,0.4688057040998217,0.5042016806722689,0.1656626506024096,0.7864864864864864,0.3764705882352941,1458.325,0.3025210084033613
400835597,Campbell,home,2015-12-31,Winthrop,1,11,100.5392673402343,103.6147561277544,0.3642276422764228,0.5373351884979792,0.4625,0.4185185185185185,0.0878930428323842,0.0353982300884955,0.4967479674796748,0.1698382197979297,0.2141057934508816,0.4780487804878048,0.5060606060606061,0.1695964347610794,0.7858942065491183,0.3757575757575757,1614.45,0.3151515151515151
400835598,Campbell,away,2016-01-02,Presbyterian,0,12,100.08015573113478,103.72233975641832,0.382089552238806,0.5353423986279554,0.4671280276816609,0.4334470989761092,0.0880553490765624,0.0365111561866125,0.4962686567164179,0.1717622810030917,0.2152777777777778,0.4597014925373134,0.5090782122905028,0.1715363943049917,0.7847222222222222,0.3659217877094972,1747.75,0.3114525139664804
400833410,Campbell,home,2016-01-07,Gardner-Webb,0,13,99.92574519995756,103.50301619218963,0.3816155988857939,0.5378554299417608,0.4590860786397449,0.4208860759493671,0.0888982961159911,0.037174721189591,0.4993036211699164,0.173968388670839,0.210412147505423,0.4623955431754875,0.5038412291933418,0.1735633400359826,0.789587852494577,0.3636363636363636,1887.6,0.3111395646606914
400833437,Campbell,home,2016-01-09,Liberty,0,14,98.45239569146962,102.34309208896812,0.3846153846153846,0.5311957247828991,0.4551792828685259,0.4229607250755287,0.0901570317531084,0.035650623885918,0.4902216427640156,0.1743221493128637,0.204,0.4628422425032594,0.5048780487804878,0.1743696438301877,0.796,0.373170731707317,2018.975,0.3158536585365853
400835599,Campbell,away,2016-01-15,Longwood,0,15,97.33283941470644,102.54035152722136,0.3888888888888889,0.524032708416434,0.4502325581395349,0.4273504273504273,0.0935553342750619,0.0361247947454844,0.482487922705314,0.1722541211335432,0.2011070110701107,0.4444444444444444,0.510250569476082,0.1722900215362527,0.7988929889298892,0.3610478359908883,2159.375,0.306378132118451
400833394,Campbell,away,2016-01-16,Charleston Southern,0,16,98.17555637901346,103.56466258737451,0.3972911963882618,0.5271905798628181,0.4511873350923482,0.4403183023872679,0.0931994860962916,0.0357698289269051,0.4864559819413092,0.1700198356474922,0.2010398613518197,0.4322799097065463,0.5188374596340151,0.1698495307362323,0.7989601386481803,0.3627556512378902,2295.0,0.3078579117330463
