<<<<<<< HEAD
Name,Game,Opponent,Site,Outcome,Date,ORtg,DRtg,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FTr,oeFG%,oTOV%,oDRB%,oFTr,Pace,o3PAr,Game ID
Oregon State,28,Oregon,home,0,2023-02-25,92.99510262477301,102.7929267889605,0.3722883135059482,0.5117180403318597,0.4749034749034749,0.46324786324786327,0.08208009695367158,0.091792656587473,0.470258922323303,0.2107522148241897,0.24547511312217193,0.3275017494751575,0.4911475409836066,0.21098441029031015,0.754524886877828,0.33311475409836067,3632.6000000000004,0.39278688524590166,401490406.0
Oregon State,29,Stanford,home,0,2023-03-02,93.1916819767287,103.95498306531191,0.37449392712550605,0.5108444989345243,0.47570742124933263,0.46688741721854304,0.08213990452569539,0.0899581589958159,0.46794871794871795,0.20981441542189205,0.24918389553862894,0.32793522267206476,0.4980964467005076,0.21015014534496093,0.750816104461371,0.33375634517766495,3752.7,0.3934010152284264,401490411.0
Oregon State,30,California,home,1,2023-03-04,93.63618814748085,103.88070473907385,0.37148463047743624,0.5127915991260836,0.4769071094966269,0.46634615384615385,0.08093930840711958,0.09173387096774194,0.4682799215173316,0.20848079274177977,0.25,0.3368214519293656,0.49846059113300495,0.20879248347059506,0.75,0.3392857142857143,3882.3500000000004,0.3891625615763547,401490417.0
Oregon State,31,Arizona State,away,0,2023-03-08,93.42280542310421,103.55051700510775,0.37041719342604296,0.5105942871140263,0.47769423558897245,0.4672897196261682,0.08222249906565342,0.08843537414965986,0.46491782553729455,0.20766156642555678,0.2520491803278688,0.33944374209860934,0.49643281807372175,0.2077986794568332,0.7479508196721312,0.3388822829964328,4014.8250000000003,0.3882282996432818,401514406.0
Pacific,1,Stanford,away,0,2022-11-07,101.76125244618395,118.67835468644638,0.44776119402985076,0.5295315682281059,0.4626865671641791,0.39285714285714285,0.09440323668240053,0.07692307692307693,0.5,0.15655577299412915,0.23076923076923078,0.208955223880597,0.6875,0.16183412002697234,0.7692307692307693,0.7083333333333334,150.8,0.4583333333333333,401485025.0
Pacific,2,North Dakota State,away,1,2022-11-13,107.96997284778789,114.4548593981253,0.36153846153846153,0.5689277899343544,0.42857142857142855,0.32786885245901637,0.12497944417036672,0.1,0.5346153846153846,0.12777511579619868,0.16901408450704225,0.3,0.6226415094339622,0.1315573096530176,0.8309859154929577,0.5566037735849056,308.55,0.4339622641509434,401489035.0
Pacific,3,North Dakota,away,1,2022-11-15,114.77384733326032,105.80357142857142,0.3717277486910995,0.6113639015284097,0.42857142857142855,0.26262626262626265,0.11607142857142858,0.10309278350515463,0.5916230366492147,0.12265907348592706,0.14432989690721648,0.25654450261780104,0.5502958579881657,0.125,0.8556701030927835,0.47337278106508873,452.275,0.4260355029585799,401489036.0
Pacific,4,Cal State Fullerton,home,0,2022-11-18,112.76153969014533,107.30205040927142,0.38022813688212925,0.5882352941176471,0.42953020134228187,0.296875,0.10373612124159169,0.0896551724137931,0.5627376425855514,0.12777511579619868,0.1888111888111888,0.2965779467680608,0.5351239669421488,0.1296701515519896,0.8111888111888111,0.5,621.5250000000001,0.40082644628099173,401489037.0
Pacific,5,Mount St. Mary's,home,0,2022-11-22,109.53878406708594,106.48209769732462,0.36615384615384616,0.5639503507825148,0.4441489361702128,0.28104575163398693,0.10382004525489151,0.09836065573770492,0.536923076923077,0.13626834381551362,0.22404371584699453,0.2953846153846154,0.5297029702970297,0.138426727006522,0.7759562841530054,0.44224422442244227,757.25,0.39603960396039606,401488804.0
Pacific,6,Idaho,home,0,2022-11-25,110.52660723185114,109.08886008902911,0.34554973821989526,0.5677228511291882,0.44724770642201833,0.32222222222222224,0.09691778892207133,0.0867579908675799,0.5366492146596858,0.1351126861952489,0.22897196261682243,0.31675392670157065,0.5415512465373962,0.13748802614526398,0.7710280373831776,0.42382271468144045,895.1500000000001,0.39335180055401664,401488992.0
Pacific,7,Cal Poly,home,0,2022-11-28,107.51339091830332,107.6339263712976,0.35348837209302325,0.5625410291369994,0.44668008048289737,0.34,0.09068059730915183,0.08835341365461848,0.5325581395348837,0.14669690681851083,0.21721311475409835,0.3186046511627907,0.5327669902912622,0.14982011729338127,0.7827868852459017,0.41019417475728154,1025.3500000000001,0.39563106796116504,401489038.0
Pacific,8,UC Davis,away,1,2022-12-01,106.74109786010317,106.45536367942809,0.3534136546184739,0.5523942922174561,0.4542314335060449,0.3407079646017699,0.08785151371603289,0.08243727598566308,0.5210843373493976,0.14717076884039582,0.2326388888888889,0.3092369477911647,0.5277185501066098,0.1498643469273502,0.7673611111111112,0.42430703624733473,1171.6750000000002,0.4051172707889126,401488206.0
Pacific,9,UC Santa Barbara,away,0,2022-12-03,106.65046146834287,108.01218994715116,0.3542039355992844,0.5482447577023702,0.45987654320987653,0.34782608695652173,0.08332368938780234,0.075,0.5196779964221825,0.1519237342853887,0.25076452599388377,0.30590339892665475,0.540952380952381,0.15430312849593025,0.7492354740061162,0.41333333333333333,1306.3000000000002,0.3904761904761905,401488146.0
Pacific,10,Northern Arizona,home,0,2022-12-06,105.98302347159694,107.65267042685049,0.3563218390804598,0.547216011923773,0.4642356241234222,0.3553113553113553,0.077988997980642,0.0782122905027933,0.513136288998358,0.15670641602804217,0.2541899441340782,0.33004926108374383,0.5369415807560137,0.15876331731773552,0.7458100558659218,0.40893470790378006,1445.525,0.3848797250859107,401489039.0
